Url playlist;;List Url;Type ;Expert name;Company name;Sub-topics;YouTube account;;
https://www.youtube.com/watch?v;5jZEZuVf6Zs&list;PLlIieQ1fBIpqbRxvOdhBulUxld2BKd8P2;Playlist;;Stylish D;Kleermaker;https://www.youtube.com/@Stylish_D/featured;;
https://www.youtube.com/watch?v;dxHedIOsf7g&list;PLlIieQ1fBIpqZxCm5J5dZAjB78PSNb7yx;Playlist;;Stylish D;Kleermaker;https://www.youtube.com/@Stylish_D/featured;;
https://www.youtube.com/watch?v;r7ZH-Yo-jHw&list;PLlIieQ1fBIpqEwjnby1kQOpBOrVaNjRhQ;Playlist;;Stylish D;Kleermaker;https://www.youtube.com/@Stylish_D/featured;;
https://www.youtube.com/watch?v;8TsWXB2LLFQ&list;PLIsuK174968wJ1tx9gYliLQkyO_M3h0an;Playlist;Hugo Jacomet;SARTORIAL;Kleermaker;https://www.youtube.com/@SARTORIALTALKS/featured;;
https://www.youtube.com/watch?v;JCAm_nqRmKg&list;PLIsuK174968xHHu73KXdZrSD3PPhi_RTb;Playlist;Hugo Jacomet;SARTORIAL;Kleermaker;https://www.youtube.com/@SARTORIALTALKS/featured;;
https://www.youtube.com/watch?v;gH_vvsIYgx4&list;PLIsuK174968xYp6IGs4xzm1TXSgqyRnLn;Playlist;Hugo Jacomet;SARTORIAL;Schoenmaker;https://www.youtube.com/@SARTORIALTALKS/featured;;
https://www.youtube.com/watch?v;D_W9sZ8S7RM&list;PLtG4P3lq8RHFRfdirLJKk822fwOxR6Zn6;Playlist;Stan Prokopenko;Proko;Illustrator;https://www.youtube.com/@ProkoTV;;
https://www.youtube.com/watch?v;74HR59yFZ7Y&list;PLtG4P3lq8RHGuMuprDarMz_Y9Fbw_d2ws;Playlist;Stan Prokopenko;Proko;Illustrator;https://www.youtube.com/@ProkoTV;;
https://www.youtube.com/watch?v;z-pgXVGpQ4g&list;PL4gc4SFpkNLxBE0i8Jn4HiZzvIhS_bopj;Playlist;Corry Raymond;Wedio;Schrijver;https://www.youtube.com/@Wedio_community/featured;;
https://www.youtube.com/watch?v;gzjasvooSG8&list;PL74YUbdVlea57h0XpTV_3iB3wiEOKPllC;Playlist;Carlo atendido;DJ Carlo;DJ;https://www.youtube.com/@djcarlo/featured;;
https://www.youtube.com/watch?v;oTI5ykEfYKE&list;PLIg0Lz0SYgKJ7ftcOgejXL81kGgfrHXoK;Playlist;Joey Santos;Digital DJ Tips;DJ;https://www.youtube.com/@digitaldjtips;;
https://www.youtube.com/watch?v;QLZXh_sBTqw&list;PLm8kQbauoU-DRRmSowPYFAzG75h76YLoN;Playlist;;Crossfader;DJ;https://www.youtube.com/@Crossfader/featured;;
https://www.youtube.com/watch?v;FBci62dfqaY&list;PLgSUZKLPRI9sQzMaBiAaZngDpP702yM2F;Playlist;;BiggerPockets;Vastgoed;https://www.youtube.com/@biggerpockets/featured;;
https://www.youtube.com/watch?v;pgEoqqFBUyI&list;PL-okcLQEqzRHZPsJmzi1TzxC8e-wUyyvt;Playlist;Ashley Kehr;Real Estate Rookie;Vastgoed;https://www.youtube.com/@RealEstateRookie/featured;;
https://www.youtube.com/watch?v;1VQ3ns_ydMo&list;PL-okcLQEqzRHrYwMmBg4sAKG4dzr-NKCI;Playlist;Ashley Kehr;Real Estate Rookie;Vastgoed;https://www.youtube.com/@RealEstateRookie/featured;;
https://www.youtube.com/watch?v;0mQgtO9JdnM&list;PL-okcLQEqzRF1F5DV2wTsK8_2iHwd1nYY;Playlist;Tony Robinson;Real Estate Rookie;Vastgoed;https://www.youtube.com/@RealEstateRookie/featured;;
https://www.youtube.com/watch?v;ZL8c8ZpXcEg&list;PLNeFpbTnJYLyuzFQuXbdtnAGGrg3piVVH;Playlist;Kirby Allison;Kirby Allison;Barbier;https://www.youtube.com/@kirbyallison/featured;;
https://www.youtube.com/watch?v;TknkVp8VALc&list;PLNeFpbTnJYLwz1DQoQVknHlNW5k_0oLro;Playlist;Kirby Allison;Kirby Allison;Kleding / mode;https://www.youtube.com/@kirbyallison/featured;;
https://www.youtube.com/watch?v;m7WEn-U3KxA&list;PLNeFpbTnJYLyDhqSgyGsRl2-ev84A-pSd;Playlist;Kirby Allison;Kirby Allison;Kleermaker;https://www.youtube.com/@kirbyallison/featured;;
https://www.youtube.com/watch?v;TG8-L0TeYto&list;PLNeFpbTnJYLy2xykI99zZs8dn8MU7BPxa;Playlist;Kirby Allison;Kirby Allison;Kleding / mode;https://www.youtube.com/@kirbyallison/featured;;
